GeoFIPS,GeoName,Region,LineCode,Description,Unit,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""00000""",United States *, ,1,All industry total,Millions of current dollars,17984178,18219405,18344713,18350825,18424283,18637253,18806743,18991883,19190431,19356649,19611704,19918910,20163159,20510177,20749752,20897804,21098827,21340267,21542540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""01000""",Alabama,5,1,All industry total,Millions of current dollars,197319.3,200574.9,202377.2,201339.5,201373.7,203904.4,204278.5,205762.8,207637.5,208359.9,210680.7,214779.5,217369.7,220572.2,223140.7,225859.4,227735,229939.2,232144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""02000""",Alaska,8,1,All industry total,Millions of current dollars,51319.1,51379.8,50342.3,49525.1,48551,49272.9,49488.5,50141.4,51099.7,51274,52060.2,52778.4,53563,54372.7,55410,55590.6,54941.4,55494.6,55429.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""04000""",Arizona,6,1,All industry total,Millions of current dollars,292638.8,296703.9,297624,301597.9,303204.1,309686.4,314650.2,316823.4,321355.3,323650.6,330533.4,334443.7,340672.6,345474,351708.8,355332.9,359404.7,364276.6,368556.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""05000""",Arkansas,5,1,All industry total,Millions of current dollars,116942,118357.4,119892.3,119853.2,119224.5,120533.6,120347.4,121393.7,122495.4,122930.1,123059,125047.7,126088.8,128352.5,129032.8,130201.5,131038,132438.3,134022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""06000""",California,8,1,All industry total,Millions of current dollars,2503944.7,2559187.2,2574128.9,2577828.2,2618837.1,2637628.3,2672126.3,2702598.9,2744565.4,2791563.5,2838905.5,2901408.2,2928096.5,2992622.8,3017340.5,3052871.3,3087669.4,3123731.5,3155223.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""08000""",Colorado,7,1,All industry total,Millions of current dollars,314437.6,317821.2,320181.6,321779,319966.4,326151,332951.7,338404,341820.5,345767.4,353032.7,359397,362721.2,370476.6,375311.6,378488.8,383690.3,388730.8,392347.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""09000""",Connecticut,1,1,All industry total,Millions of current dollars,257686.5,260496.3,260660.9,261446.7,262478,264047.2,263601.2,264659.2,264429.9,268292,269571,270949.3,272854.5,273884.5,278294.5,277874.1,281659.3,284357.4,287560.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""10000""",Delaware,2,1,All industry total,Millions of current dollars,70549,72412.2,70663.6,70252.7,68557.4,69531.5,69756.4,70353.4,70780.6,69899,71193.2,71226.4,72091.2,73024.7,74461.4,74348.1,74270.2,75216.3,75765.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ""11000""",District of Columbia,2,1,All industry total,Millions of current dollars,124022.8,125514.6,125439.5,125870.6,128486.8,129630.9,129811.8,131374.8,132033.7,132642.5,135881.7,135612.8,138469.2,139579.6,141968.8,142626.2,144074.8,145475.7,146995.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
