state,Adults with Any Mental Illness,Youth with At Least One Major Depressive Episode
Alabama,737000,45000
Alaska,107000,8000
Arizona,944000,72000
Arkansas,464000,32000
California,5419000,401000
Colorado,838000,59000
Connecticut,506000,36000
Delaware,138000,8000
District of Columbia,117000,3000
Florida,2861000,185000
Georgia,1385000,99000
Hawaii,173000,11000
Idaho,310000,24000
Illinois,1627000,141000
Indiana,1041000,74000
Iowa,450000,34000
Kansas,421000,33000
Kentucky,747000,41000
Louisiana,663000,39000
Maine,203000,14000
Maryland,778000,59000
Massachusetts,1109000,66000
Michigan,1405000,107000
Minnesota,765000,58000
Mississippi,420000,28000
Missouri,925000,68000
Montana,159000,11000
Nebraska,252000,20000
Nevada,424000,34000
New Hampshire,203000,13000
New Jersey,1115000,77000
New Mexico,276000,25000
New York,2713000,161000
North Carolina,1387000,95000
North Dakota,103000,6000
Ohio,1759000,129000
Oklahoma,578000,44000
Oregon,757000,48000
Pennsylvania,1786000,113000
Rhode Island,164000,10000
South Carolina,704000,46000
South Dakota,113000,8000
Tennessee,977000,65000
Texas,3309000,296000
Utah,500000,47000
Vermont,99000,5000
Virginia,1195000,83000
Washington,1277000,75000
West Virginia,326000,18000
Wisconsin,822000,61000
Wyoming,88000,6000
