state,area (square mi)
Alabama,"52,420.07"
Alaska,"665,384.04"
Arizona,"113,990.30"
Arkansas,"53,178.55"
California,"163,694.74"
Colorado,"104,093.67"
Connecticut,"5,543.41"
Delaware,"2,488.72"
District of Columbia,68.34
Florida,"65,757.70"
Georgia,"59,425.15"
Hawaii,"10,931.72"
Idaho,"83,568.95"
Illinois,"57,913.55"
Indiana,"36,419.55"
Iowa,"56,272.81"
Kansas,"82,278.36"
Kentucky,"40,407.80"
Louisiana,"52,378.13"
Maine,"35,379.74"
Maryland,"12,405.93"
Massachusetts,"10,554.39"
Michigan,"96,713.51"
Minnesota,"86,935.83"
Mississippi,"48,431.78"
Missouri,"69,706.99"
Montana,"147,039.71"
Nebraska,"77,347.81"
Nevada,"110,571.82"
New Hampshire,"9,349.16"
New Jersey,"8,722.58"
New Mexico,"121,590.30"
New York,"54,554.98"
North Carolina,"53,819.16"
North Dakota,"70,698.32"
Ohio,"44,825.58"
Oklahoma,"69,898.87"
Oregon,"98,378.54"
Pennsylvania,"46,054.34"
Rhode Island,"1,544.89"
South Carolina,"32,020.49"
South Dakota,"77,115.68"
Tennessee,"42,144.25"
Texas,"268,596.46"
Utah,"84,896.88"
Vermont,"9,616.36"
Virginia,"42,774.93"
Washington,"71,297.95"
West Virginia,"24,230.04"
Wisconsin,"65,496.38"
Wyoming,"97,813.01"
